# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

Choline, from phosphocholine | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Vitamin A | 27 foods | Tomatoes, grape, raw | Soy milk, sweetened, plain, refrigerated | Almond milk, unsweetened, plain, refrigerated
Hydroxyproline | 27 foods | Mustard, prepared, yellow | Yogurt, Greek, plain, nonfat | Cheese, ricotta, whole milk
Fatty acids, total trans-polyenoic | 26 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
TFA 18:3 t | 26 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Cysteine | 25 foods | Cheese, ricotta, whole milk | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
Beta-glucan | 23 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
SFA 21:0 | 19 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
Beta-sitosterol | 19 foods | Oil, canola | Oil, corn | Oil, soybean
Campesterol | 19 foods | Oil, canola | Oil, corn | Oil, soybean
Delta-5-avenasterol | 19 foods | Oil, canola | Oil, corn | Oil, soybean
Beta-sitostanol | 19 foods | Oil, canola | Oil, corn | Oil, soybean
Stigmasterol | 19 foods | Oil, canola | Oil, corn | Oil, soybean
Low Molecular Weight Dietary Fiber (LMWDF) | 19 foods | Flour, oat, whole grain | Flour, potato | Oats, whole grain, rolled, old fashioned
High Molecular Weight Dietary Fiber (HMWDF) | 19 foods | Flour, oat, whole grain | Flour, potato | Oats, whole grain, rolled, old fashioned
Cystine | 17 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Boron, B | 17 foods | Beans, Dry, Medium Red (0% moisture) | Beans, Dry, Red (0% moisture) | Beans, Dry, Flor de Mayo (0% moisture)
Cobalt, Co | 17 foods | Beans, Dry, Medium Red (0% moisture) | Beans, Dry, Red (0% moisture) | Beans, Dry, Flor de Mayo (0% moisture)
Nickel, Ni | 17 foods | Beans, Dry, Medium Red (0% moisture) | Beans, Dry, Red (0% moisture) | Beans, Dry, Flor de Mayo (0% moisture)
Sulfur, S | 17 foods | Beans, Dry, Medium Red (0% moisture) | Beans, Dry, Red (0% moisture) | Beans, Dry, Flor de Mayo (0% moisture)
Resistant starch | 17 foods | Beans, cannellini, dry | Chickpeas, (garbanzo beans, bengal gram), dry | Lentils, dry
25-hydroxycholecalciferol | 15 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
SFA 5:0 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
SFA 7:0 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
SFA 9:0 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
MUFA 12:1 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
MUFA 22:1 n-11 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
